country,age,education,gender,ethnicity,organization_type,job_industry,primary_job_function,current_role,planned_job_postings,python,r_programming,java,java_script,c_c++,c#,julia,html_css,bash_shell,sql,go,php,rust,typescript,"in_your_work,_how_much_more_time_have_you_spent_this_year_on_generative_ai_techniques_such_as_generative_adversarial_networks_gans,_variational_autoencoders_vaes,_or_transformer_models_compared_to_last_year",what_are_you_using_generative_ai_for_select_all_that_apply__selected_choice,has_your_company_already_hired_or_plan_on_hiring_any_of_the_following_roles_select_all_that_apply__selected_choice,"what_topics,_tools,_or_skills_are_covered_in_your_courses_in_preparation_for_entering_the_data_science_ml_field_select_all_that_apply","in_your_opinion,_what_is_the_biggest_obstacle_to_obtaining_the_experience_required_for_a_career_in_data_science_or_related_fields__selected_choice",what_would_be_your_ideal_job_title__selected_choice
AFGHANISTAN,26-41,BACHELOR’S DEGREE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,EDUCATION,PROFESSOR/INSTRUCTOR/RESEARCHER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,26-41,BACHELOR’S DEGREE,NON-BINARY,EAST ASIAN,GOVERNMENT AGENCY,,RESEARCH SCIENTIST,DATA SCIENCE PRACTITIONER,,15,13,18,15,16,18,10,12,19,29,26,27,34,,SLIGHTLY MORE,AUTOMATING TASKS,AI DATA ANALYST,,,
AFGHANISTAN,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ELECTRONICS,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,AI DATA ANALYST,AI AUDITOR,AI ETHICIST",,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ELECTRONICS,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,AI DATA ANALYST,AI AUDITOR,AI ETHICIST,BIG DATA ENGINEER",,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,42-57,MASTER’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,MEDIA,DATA SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,AI AUDITOR,MACHINE MANAGER",,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,42-57,MASTER’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,MEDIA,DATA ENGINEER,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,PROMPT ENGINEER,MACHINE MANAGER",,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,26-41,HIGH SCHOOL OR EQUIVALENT,FEMALE,,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,AI ENGINEER,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,26-41,DOCTORAL DEGREE,FEMALE,WHITE,GOVERNMENT AGENCY,GOVERNMENT,DATA SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,INSURANCE,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,AI DATA ANALYST,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,42-57,DOCTORAL DEGREE,AGENDER,WHITE,EDUCATIONAL INSTITUTION,AUTOMOTIVE,ML ENGINEER,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,ML ENGINEER
AFGHANISTAN,26-41,DOCTORAL DEGREE,AGENDER,WHITE,GOVERNMENT AGENCY,AGRICULTURE,DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,ML ENGINEER
AFGHANISTAN,26-41,MASTER’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,CONSULTING,PRODUCT MANAGER,OTHER,,49,19,17,28,37,20,19,23,18,20,82,17,9,18,THE SAME AMOUNT,AUTOMATING TASKS,BIG DATA ENGINEER,,,
AFGHANISTAN,26-41,DOCTORAL DEGREE,FEMALE,BLACK,NOT-FOR-PROFIT ORGANIZATION,MANUFACTURING,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,74,74,100,42,63,86,61,88,58,93,57,54,81,70,THE SAME AMOUNT,AUTOMATING TASKS,AI DATA ANALYST,,,
AFGHANISTAN,26-41,DOCTORAL DEGREE,MALE,"WHITE,DECLINE TO ANSWER",GOVERNMENT AGENCY,ENERGY,APPLIED SCIENTIST,DATA SCIENCE PRACTITIONER,,62,23,53,38,61,46,68,39,51,39,61,48,61,53,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,AUTOMATING TASKS","AI DATA ANALYST,COMPUTER VISION ENGINEER",,,
